"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"CapeFlyer-Friday-2016",0,0,0,0,1,0,0,20160527,20160902
"CapeFlyer-Saturday-2016",0,0,0,0,0,1,0,20160528,20160903
"CapeFlyer-Sunday-2016",0,0,0,0,0,0,1,20160529,20160904
"Logan-Saturday",0,0,0,0,0,1,0,20160802,20161230
"Logan-Sunday",0,0,0,0,0,0,1,20160802,20161230
"Logan-Weekday",1,1,1,1,1,0,0,20160802,20161230
"CR-Weekday",1,1,1,1,1,0,0,20160921,20161230
"CR-Saturday",0,0,0,0,0,1,0,20160921,20161230
"CR-Sunday",0,0,0,0,0,0,1,20160921,20161230
"CR-Weekday-postWachusett",1,1,1,1,1,0,0,20160930,20161230
"CR-Weekday-preWachusett",1,1,1,1,1,0,0,20160921,20160929
"BUS32016-hba36011-Weekday-02",1,1,1,1,1,0,0,20160802,20160902
"BUS42016-hba46011-Weekday-02",1,1,1,1,1,0,0,20160906,20161223
"BUS42016-hba46ns1-Weekday-02",1,1,1,1,1,0,0,20161010,20161230
"BUS32016-hbb36011-Weekday-02",1,1,1,1,1,0,0,20160802,20160902
"BUS32016-hbb36016-Saturday-02",0,0,0,0,0,1,0,20160806,20160827
"BUS32016-hbb36017-Sunday-02",0,0,0,0,0,0,1,20160807,20160828
"BUS42016-hbb46016-Saturday-02",0,0,0,0,0,1,0,20160903,20161224
"BUS42016-hbb46017-Sunday-02",0,0,0,0,0,0,1,20160904,20161218
"BUS42016-hbb46hl7-Sunday-02",0,0,0,0,0,0,1,20160905,20161124
"BUS42016-hbb46011-Weekday-02",1,1,1,1,1,0,0,20160906,20161223
"BUS42016-hbb46ns1-Weekday-02",1,1,1,1,1,0,0,20161010,20161230
"BUS42016-hbb46xm7-Sunday-02",0,0,0,0,0,0,1,20161225,20161225
"BUS42016-hbb46ax7-Sunday-02",0,0,0,0,0,0,1,20161226,20161226
"BUS32016-htt36011-Weekday-02",1,1,1,1,1,0,0,20160802,20160902
"BUS32016-htt36016-Saturday-02",0,0,0,0,0,1,0,20160806,20160827
"BUS42016-htt46016-Saturday-02",0,0,0,0,0,1,0,20160903,20161224
"BUS42016-htt46011-Weekday-02",1,1,1,1,1,0,0,20160906,20161223
"BUS42016-htt46ns1-Weekday-02",1,1,1,1,1,0,0,20161010,20161230
"RTL32016-hmb36011-Weekday-01",1,1,1,1,1,0,0,20160802,20160902
"RTL32016-hmb36016-Saturday-01",0,0,0,0,0,1,0,20160806,20160827
"RTL32016-hmb36017-Sunday-01",0,0,0,0,0,0,1,20160807,20160828
"RTL42016-hmb46016-Saturday-01",0,0,0,0,0,1,0,20160903,20161224
"RTL42016-hmb46017-Sunday-01",0,0,0,0,0,0,1,20160904,20161218
"RTL42016-hmb46lb7-Sunday-01",0,0,0,0,0,0,1,20160905,20160905
"RTL42016-hmb46011-Weekday-01",1,1,1,1,1,0,0,20160906,20161230
"RTL42016-hmb46cl1-Weekday-01",1,1,1,1,1,0,0,20161010,20161010
"RTL42016-hmb46vt1-Weekday-01",1,1,1,1,1,0,0,20161111,20161111
"RTL42016-hmb46th7-Sunday-01",0,0,0,0,0,0,1,20161124,20161124
"RTL42016-hmb46xm7-Sunday-01",0,0,0,0,0,0,1,20161225,20161225
"RTL42016-hmb46ax7-Sunday-01",0,0,0,0,0,0,1,20161226,20161226
"BUS32016-hbc36011-Weekday-02",1,1,1,1,1,0,0,20160802,20160902
"BUS32016-hbc36016-Saturday-02",0,0,0,0,0,1,0,20160806,20160827
"BUS32016-hbc36017-Sunday-02",0,0,0,0,0,0,1,20160807,20160828
"BUS42016-hbc46016-Saturday-02",0,0,0,0,0,1,0,20160903,20161224
"BUS42016-hbc46017-Sunday-02",0,0,0,0,0,0,1,20160904,20161218
"BUS42016-hbc46hl7-Sunday-02",0,0,0,0,0,0,1,20160905,20161124
"BUS42016-hbc46011-Weekday-02",1,1,1,1,1,0,0,20160906,20161223
"BUS42016-hbc46ns1-Weekday-02",1,1,1,1,1,0,0,20161010,20161230
"BUS42016-hbc46xm7-Sunday-02",0,0,0,0,0,0,1,20161225,20161225
"BUS42016-hbc46ax7-Sunday-02",0,0,0,0,0,0,1,20161226,20161226
"BUS32016-hbg36011-Weekday-02",1,1,1,1,1,0,0,20160802,20160902
"BUS32016-hbg36016-Saturday-02",0,0,0,0,0,1,0,20160806,20160827
"BUS32016-hbg36017-Sunday-02",0,0,0,0,0,0,1,20160807,20160828
"BUS42016-hbg46016-Saturday-02",0,0,0,0,0,1,0,20160903,20161224
"BUS42016-hbg46017-Sunday-02",0,0,0,0,0,0,1,20160904,20161218
"BUS42016-hbg46hl7-Sunday-02",0,0,0,0,0,0,1,20160905,20161124
"BUS42016-hbg46011-Weekday-02",1,1,1,1,1,0,0,20160906,20161223
"BUS42016-hbg46ns1-Weekday-02",1,1,1,1,1,0,0,20161010,20161230
"BUS42016-hbg46xm7-Sunday-02",0,0,0,0,0,0,1,20161225,20161225
"BUS42016-hbg46ax7-Sunday-02",0,0,0,0,0,0,1,20161226,20161226
"BUS32016-hbf36011-Weekday-02",1,1,1,1,1,0,0,20160802,20160902
"BUS42016-hbf46011-Weekday-02",1,1,1,1,1,0,0,20160906,20161223
"BUS42016-hbf46ns1-Weekday-02",1,1,1,1,1,0,0,20161010,20161230
"PRIV32016-hpj36011-Weekday-01",1,1,1,1,1,0,0,20160802,20160902
"PRIV32016-hpj36016-Saturday-01",0,0,0,0,0,1,0,20160806,20160827
"PRIV32016-hpj36017-Sunday-01",0,0,0,0,0,0,1,20160807,20160828
