"service_id","date","exception_type"
"CapeFlyer-Sunday-2016",20160530,1
"CapeFlyer-Sunday-2016",20160704,1
"CapeFlyer-Sunday-2016",20160905,1
"CR-Weekday",20160905,2
"CR-Sunday",20160905,1
"CR-Weekday",20161124,2
"CR-Weekday-postWachusett",20161124,2
"CR-Sunday",20161124,1
"CR-Weekday",20161225,2
"CR-Weekday-postWachusett",20161225,2
"CR-Sunday",20161225,1
"BUS42016-hba46011-Weekday-02",20161010,2
"BUS42016-hba46011-Weekday-02",20161111,2
"BUS42016-hba46011-Weekday-02",20161124,2
"BUS42016-hba46011-Weekday-02",20161125,2
"BUS42016-hba46ns1-Weekday-02",20161011,2
"BUS42016-hba46ns1-Weekday-02",20161012,2
"BUS42016-hba46ns1-Weekday-02",20161013,2
"BUS42016-hba46ns1-Weekday-02",20161014,2
"BUS42016-hba46ns1-Weekday-02",20161017,2
"BUS42016-hba46ns1-Weekday-02",20161018,2
"BUS42016-hba46ns1-Weekday-02",20161019,2
"BUS42016-hba46ns1-Weekday-02",20161020,2
"BUS42016-hba46ns1-Weekday-02",20161021,2
"BUS42016-hba46ns1-Weekday-02",20161024,2
"BUS42016-hba46ns1-Weekday-02",20161025,2
"BUS42016-hba46ns1-Weekday-02",20161026,2
"BUS42016-hba46ns1-Weekday-02",20161027,2
"BUS42016-hba46ns1-Weekday-02",20161028,2
"BUS42016-hba46ns1-Weekday-02",20161031,2
"BUS42016-hba46ns1-Weekday-02",20161101,2
"BUS42016-hba46ns1-Weekday-02",20161102,2
"BUS42016-hba46ns1-Weekday-02",20161103,2
"BUS42016-hba46ns1-Weekday-02",20161104,2
"BUS42016-hba46ns1-Weekday-02",20161107,2
"BUS42016-hba46ns1-Weekday-02",20161108,2
"BUS42016-hba46ns1-Weekday-02",20161109,2
"BUS42016-hba46ns1-Weekday-02",20161110,2
"BUS42016-hba46ns1-Weekday-02",20161114,2
"BUS42016-hba46ns1-Weekday-02",20161115,2
"BUS42016-hba46ns1-Weekday-02",20161116,2
"BUS42016-hba46ns1-Weekday-02",20161117,2
"BUS42016-hba46ns1-Weekday-02",20161118,2
